Business Category,Business Name,Business Description,Website,Phone,Address,Email
CONTRACTORS,METRO VANCOUVER ENTERPRISES LTD.,CONSTRUCTION CONTRACTOR,,778-829-7350,"116 - 200 WESTHILL PL, PORT MOODY",fernandosandl@gmail.com
BEAUTY/ESTHETICS,MANNY'S BARBER SHOP,BARBER & STYLING,,778-316-6760,"4 - 2929 ST JOHNS ST, PORT MOODY",milanimanny@gmail.com
CONTRACTORS,FARRWEST ELECTRICAL,ELECTRICAL CONTRACTOR,,604-358-2460,"305 - 201 MORRISSEY RD, PORT MOODY",keith@farrwestelectrical.ca
BEAUTY/ESTHETICS,RECONNECT SPA,"SPA SERVICES, MASSAGE, FACIALS & REIKI @ KUSHALA YOGA",,778-554-2763,"303 - 130 BREW ST, PORT MOODY",fiona@reconnectspa.ca
CONTRACTORS,HQ PLUMBING & HEATING,PLUMBING AND HEATING CONTRACTOR,,604-339-7831,"966 CAITHNESS CRES, PORT MOODY",hqplumbingandheating@hotmail.com
FOOD & BEVERAGE,VERA'S BURGER SHACK,VERA'S BURGER SHACK,,604-492-3392,"A - 254 NEWPORT DR, PORT MOODY",
CONTRACTORS,SQUARE ONE MECHANICAL INC.,"PLUMBING, HEATING & GAS FITTING",,604-685-9333,"68 - 2000 PANORAMA DR, PORT MOODY",
BEAUTY/ESTHETICS,CARA MARCO STUDIO,COSMETIC TATTOO SERVICE,,,"3 - 400 CAPILANO RD, PORT MOODY",caramarcostudio@gmail.com
HEALTH,PORT MOODY STATION DENTAL,DENTIST @ PORT MOODY DENTAL,,604-492-0807,"2746 ST JOHNS ST, PORT MOODY",portmoodydental@gmail.com
HEALTH,ALLIED COAST THERAPY,REGISTERED MASSAGE THERAPY AND PHYSIOTHERAPY CLINIC,,604-842-6902,"830 - 220 BREW ST, PORT MOODY",corporate@coasttherapy.ca
FOOD & BEVERAGE,THE BAKERY BREWING COMPANY,SMALL SCALE CRAFT BREWERY - MANUFACTURING BEER & SPIRITS,,604-329-1541,"2617 MURRAY ST, PORT MOODY",dan@thebakerybrewing.com
CONTRACTORS,KAMYAB ELECTRIC LTD,ELECRICAL CONTRACTOR,,604-339-3339,"301 - 220 BREW ST, PORT MOODY",b.rahimi68@yahoo.co.uk
BUSINESS SERVICES,SUMMIT PACIFIC CONSULTING SERVICES LTD,"IMMIGRATION & FOREIGN EDUCATION CONSULTING, VISAS & FOREIGN WORKER ETC",,604-724-6385,"301 - 220 BREW ST, PORT MOODY",summit_consulting@hotmail.com
RETAIL COMMERCIAL,PORT MOODY FLOWERS,FLORAL RETAIL,,,"B - 259 NEWPORT DR, PORT MOODY",
CONTRACTORS,SOS PLUMBING AND HEATING LTD.,PLUMBING AND HEATING SERVICES,,778-858-6700,"505 SAN REMO DR, PORT MOODY",tzrnic@gmail.com
HEALTH,RYU CLINIC INC.,ACUPUNCTURE CLINIC,http://ryu.clinic.com,604-469-2000,"203A - 130 BREW ST, PORT MOODY",info@ryu.clinic.com
COMMUNITY SERVICES/EDUCATION,PASSIONATE LEARNERS ACADEMY (PLA) INC.,TUTORING,,,"301 - 220 BREW ST, PORT MOODY",soroush_azani@yahoo.com
AUTOMOTIVE,FIRST CLASS AUTO BODY,Auto Body,,604-461-4040,"2902 ST JOHNS ST, PORT MOODY",
COMMUNITY SERVICES/EDUCATION,BRIGHTPATH KIDS CORP,EARLY LEARNING & CHILDCARE,,,"2740 ST JOHNS ST, PORT MOODY",
BEAUTY/ESTHETICS,MICHELLE MOERSCH,HAIR STYLIST - SINGLE CHAIR RENTAL,,604-936-4555,"B - 2503 ST JOHNS ST, PORT MOODY",
HEALTH,"BERROW, SHANNON",REGISTERED MASSAGE THERAPIST @ ROCKY POINT WELLNESS CLINIC,,778-228-0179,"2701 CLARKE ST, PORT MOODY",shannon@shannonberrow.com
CONTRACTORS,MOODY ROOFING,ROOFING CONTRACTOR,,604-690-2079,"3357 VIEWMOUNT PL, PORT MOODY",jamiebotsis@yahoo.com
BEAUTY/ESTHETICS,ELYSE COLLIER SHINE HAIR LOUNGE,HAIR STYLIST,,778-355-0866,"2520 ST JOHNS ST, PORT MOODY",
COMMUNITY SERVICES/EDUCATION,SANDY CHILD CARE CENTRE,FAMILY DAYCARE,,778-320-8281,"1 DEERWOOD PL, PORT MOODY",simonzheng2009@hotmail.com
COMMUNITY SERVICES/EDUCATION,COMMUNITY VENTURES SOCIETY,NON PROFIT ORGANIZATION SUPPPORTING PEOPLE WITH DISABILITES & THEIR FAMILIES,,604-939-8070 ext 2021,"2322 ST JOHNS ST, PORT MOODY",
FOOD & BEVERAGE,GALLAGHERS COFFEE BAR & CAFE,COFFEE SHOP,,604-461-4717,"7 - 232 NEWPORT DR, PORT MOODY",
CONTRACTORS,REVITALIZE HOME REPAIR AND RENOVATIONS,HOME RENOVATIONS,,604-345-9413,"38 - 100 KLAHANIE DR, PORT MOODY",RYAN@REVITALIZEYOURHOME.COM
SPORT/RECREATION/TRAVEL,ROCKY POINT DRAGON BOATING,COACHING & TEACHING DRAGON BOAT PADDLING,,,"2715 ESPLANADE ST, PORT MOODY",rockypointdragonboating@gmail.com
CONTRACTORS,ANYTIME DEMOLITION LTD.,DEMOLITION & ASBESTOS REMOVAL,,604-329-6812,"3026 ST GEORGE ST, PORT MOODY",anytime_demolition@hotmail.com
HEALTH,RAY DEVRIES CLINICAL COUNSELLING,CLINICAL COUNSELLING,,604-945-7305,"820 - 220 BREW ST, PORT MOODY",devries1@telus.net
RETAIL COMMERCIAL,SHE SELLS,"SELLING COLLECTIBLES, FURNITURE AND ART",,778-872-0838,"2809 SPRING ST, PORT MOODY",
CONTRACTORS,AGING MY WAY HOME CARE,SENIOR CARE,,604-291-8331,"301 - 2227 ST JOHNS ST, PORT MOODY",info@agingmyway.ca
AUTOMOTIVE,IDRIVE AUTO CREDIT LTD,CAR DEALERSHIP/USED CAR SALES,,604-779-4418,"3239 ST JOHNS ST, PORT MOODY",teresa@idriveautocredit.ca
HEALTH,ROCKY POINT MASSAGE THERAPY,REGISTERED MASSAGE THERAPY - 1 TREATMENT ROOM,,604-970-7003,"204 - 3003 ST JOHNS ST, PORT MOODY",rmtbryan@gmail.com
CONTRACTORS,REALTECH APPLIANCE SERVICE LTD.,APPLIANCE REPAIR,,,"21 - 103 PARKSIDE DR, PORT MOODY",realtechappliances@gmail.com
CONTRACTORS,JENCO CONSTRUCTION,RENOVATION CONTRACTOR,,604-562-5934,"516 APRIL RD, PORT MOODY",jenco.construction@telus.net
CONTRACTORS,BESTWAY MAJOR APPLIANCE REPAIR & SERVICE LTD.,"APPLIANCE REPAIR, SERVICE, AND INSTALLATION",,604-492-1151,"4 - 307 AFTON LANE, PORT MOODY",bestwayma@shaw.ca
CONTRACTORS,TRIPLE C MOVING SERVICES,"MOVING FURNITURE, RESIDENTIAL & OFFICES",,778-889-5561,"2302 - 651 NOOTKA WAY, PORT MOODY",kers1975@yahoo.com
CONTRACTORS,MEDD ENTERPRISES LIMITED,CARPENTRY SERVICES,,604-781-8795,"1033 TUXEDO DR, PORT MOODY",
CONTRACTORS,ROMSTAR ELECTRIC,ELECTRICAL CONTRACTOR,,778-829-2205,"3363 VIEWMOUNT PL, PORT MOODY",romstarelectric@gmail.com
CONTRACTORS,OUTBACK LANDSCAPING & MAINTENANCE,LANDSCAPING AND MAINTENANCE.,,604-724-5659,"483 CULZEAN PL, PORT MOODY",kenmacc@hotmail.com
CONTRACTORS,COLWIN CONNECT LTD.,LOW VOLTAGE ELECTRICAL INSTALLATION AND SERVICE,,604-461-2181,"2829 MURRAY ST, PORT MOODY",
INDUSTRIAL,GREAT WEST WATER COMPANY INC.,water purification,,604-469-1099,"2915 MURRAY ST, PORT MOODY",
INDUSTRIAL,AUTONAV,DESIGN AND SALES OF MARINE EQUIPTMENT,,604-526-0113,"4 - 2609 MURRAY ST, PORT MOODY",paulwagner@hotmail.com
INDUSTRIAL,ARCTIG FABRICATING & WELDING,WELDING-FABRICATION,,604-461-3520,"3006 SPRING ST, PORT MOODY",arctig@gmail.com
CONTRACTORS,LETTER ART NEON LTD,Sign Manufacturer,,604-461-3919,"3202 ST JOHNS ST, PORT MOODY",
CONTRACTORS,SECULO DEVELOPMENT CORPORATION,CONSULTANT FOR NEW HOME DEVELOPMENT PROJECTS,,,"304 - 400 CAPILANO RD, PORT MOODY",greggborsos@gmail.com
CONTRACTORS,ALTITUDE DIGITAL IMAGING LTD.,AERIAL PHOTOGRAPHY,,778-230-2246,"46 SPRUCE CRT, PORT MOODY",
AUTOMOTIVE,DENTS UNLIMITED ENTERPRISES CANADA INCORPORATED,PAINTLESS DENT REMOVAL,,604-469-9545,"87 WILLIAMS ST, PORT MOODY",info@dentsunlimitedcanada.ca
AUTOMOTIVE,MEGA AUTOBODY CLINIC,AUTO BODY REPAIR SHOP,,604-461-8200,"1 - 2822 SPRING ST, PORT MOODY",
CONTRACTORS,TIERRA CONSTRUCTION,HOME RENOVATION AND CONSTRUCTION,,6041-700-4687,"226 CAMBRIDGE WAY, PORT MOODY",ignacio.tierraconstruction@gmail.com
CONTRACTORS,WEST COAST WATER SOLUTIONS (PLUMBING & HEATING),PLUMBING & HEATING COMPANY - COMMERCIAL & RESIDENTIAL,,604-760-3683,"11 PARKGLEN PL, PORT MOODY",tyler@westcoastwatersolutions.ca
CONTRACTORS,HOLIDAY LIGHTS,CONTRACTOR,,604-763-4094,"6 ARROW-WOOD CLOSE, PORT MOODY",
CONTRACTORS,GMR CONSTRUCTION,GENERAL CONTRACTING,,604-374-1290,"130 SHORELINE CIR, PORT MOODY",gmrconstruction@shaw.ca
CONTRACTORS,PROCEM CONTRACTING LTD,CEMENT FINISHING SERVICES - MAIN OFFICE,,604-917-0490,"301 - 220 BREW ST, PORT MOODY",AR@PROCEM.CA
CONTRACTORS,JIM'S MOWING IOCO,RESIDENTIAL YARD MAINTENANCE & LANDSCAPING,,604-461-6996,"18 DOWDING RD, PORT MOODY",ronsamson@hotmail.ca
HEALTH CARE,PAIGE BASSETT REGISTERED MASSAGE THERAPIST,REGISTERED MASSAGE THERAPIST OPERATING OUT OF ALLIED COAST THERAPY,,604-353-9511,"830 - 220 BREW ST, PORT MOODY",paige_star780@hotmail.com
CONTRACTORS,INLET MASONRY,MASONRY CONTRACTOR,,604-771-5706,"224 APRIL RD, PORT MOODY",inletmasonry@shaw.ca
CONTRACTORS,RETLEK SYSTEMS INC.,ENGINEERING CONTRACTING,,604-512-0469,"184 SYCAMORE DR, PORT MOODY",paulheltera@gmail.com
AUTOMOTIVE,IRON HORSE MOTORCAR INC.,AUTO SALES. SPECIALIZING IN CLASSIC/COLLECTOR CARS,,604-299-1551,"42 MARY ST, PORT MOODY",INFO@X-KOTE.COM
CONTRACTORS,DO-TOUT,GENERAL CONTRACTOR/MECHANIC/HOME RENOVATION,,250-634-9822,"115 JACOBS RD, PORT MOODY",cockenpot.jacques@gmail.com
CONTRACTORS,NS TECH,CONTRACTOR FOR TELUS MOBILITY,,604-505-0163,"185 - 908 CLARKE RD, PORT MOODY",nebossa.savatovic@telus.net
CONTRACTORS,SALTIRE CONTRACTING,COMMERCIAL & RESIDENTIAL,,604-783-3313,"45 BEDINGFIELD ST, PORT MOODY",scottfraser1989@gmail.com
AUTOMOTIVE,RELIANCE AUTOMOTIVE REPAIRS LTD,"AUTOMOTIVE REPAIR SERVICES, AND MAINTENANCE",,604-469-2741,"1 - 3005 MURRAY ST, PORT MOODY",relianceautorepairs@gmail.com
AUTOMOTIVE,SHORELINE AUTO LTD,AUTO DEALERSHIP,,604-762-5519,"3239 ST JOHNS ST, PORT MOODY",fred@shorelineauto.ca
CONTRACTORS,TCGC,GENERAL CONTRACTOR FOR COMMERCIAL & RESIDENTIAL,,604-833-9084,"103 - 3136 ST JOHNS ST, PORT MOODY",jacklivesey@shaw.ca
AUTOMOTIVE,VANCOUVER AUTO CREDIT LTD,CAR DEALERSHIP/USED CAR SALES,,604-372-3999,"3239 ST JOHNS ST, PORT MOODY",
AUTOMOTIVE,X-KOTE PAINT RENEWAL SYSTEMS INC.,VEHICLE POLISHING & WAXING,,604-299-2005,"42 MARY ST, PORT MOODY",
INDUSTRIAL,MAXILITE MFG LTD,Lighting Fixture Manufacturers,,604-461-4747,"3006 SPRING ST, PORT MOODY",
CONTRACTORS,AHI HOME MAINTENANCE,HANDYMAN SERVICES,,604-317-0490,"50 FOXWOOD DR, PORT MOODY",ahihomemaintenance@gmail.com
ANIMALS,WC DOGGY CARE PORT MOODY LTD,ANIMAL CARE (DOGGY DAYCARE),,604-936-6662,"2809 MURRAY ST, PORT MOODY",dogtopiaportmoody@gmail.com
MARKETING/COMMUNICATIONS,YES ACQUISITIONS INC.,"SALES RECRUITMENT, TRAINING & DEVELOPMENT COMPANY",,604-202-7192,"609 - 220 BREW ST, PORT MOODY",kyle.zelazny@yesa.ca
BEAUTY/ESTHETICS,THE UPS STORE 248,PERSONAL BUSINESS CENTRE,,604-461-9333,"255 NEWPORT DR, PORT MOODY",store248@theupsstore.ca
RETAIL COMMERCIAL,ELENA'S CUSTOM TAILORING & ALTERATIONS,ALTERATIONS,,604-461-1192,"256 NEWPORT DR, PORT MOODY",elenascustom@gmail.com
ACCOMMODATIONS,"WONG, JEREMY",ROOM RENTALS - AIR B&B,,778-228-8099,"1108 VICTORY DR, PORT MOODY",
SPORT/RECREATION/TRAVEL,AP CANADIAN IMMIGRATION SERVICES,IMMIGRATION CONSULTATION FIRM,,778-997-7464,"301 - 220 BREW ST, PORT MOODY",simimmigration@gmail.com
ACCOMMODATIONS,"HEILY-VAN OS, MARIETTA",SHARED ACCOMMODATIONS,,,"132 RAVINE DR, PORT MOODY",
INDUSTRIAL,MODULAR MINING SYSTEMS CANADA LIMITED,MINE MANAGEMENT SOLUTIONS,,604-468-8715 ext 4124,"810 - 220 BREW ST, PORT MOODY",
ACCOMMODATIONS,AT THE BEACH BED & BREAKFAST,Bed and Breakfast,,604-469-1923,"872 ALDERSIDE RD, PORT MOODY",sytay@atthebeachretreat.com
RETAIL COMMERCIAL,PORT MOODY COIN LAUNDRY,COIN LAUNDRY.,,604-461-3711,"6 - 2929 ST JOHNS ST, PORT MOODY",hdkim7@hotmail.com
ACCOMMODATIONS,WATER-FRONT ROOM,AIR B&B - ROOM RENTALS,,604-525-8839,"746 ALDERSIDE RD, PORT MOODY",ceciliahuang968@gmail.com
CONTRACTORS,METTA PAINTING,PROFESSIONAL HOUSE PAINTING FRANCHISE BUSINESS,,250-208-2550,"1 - 2305 ST JOHNS ST, PORT MOODY",kylerooney@collegepro.com
CONTRACTORS,A.M.J & SONS HOLDINGS AND CONSTRUCTION,GENERAL CONTRACTOR,,778-968-8855,"5 BENSON DR, PORT MOODY",aj@amjconstructionltd.com
CONTRACTORS,EVA'S FOOT CARE,FOOT CARE NURSE,,,"725 APPLEYARD CRT, PORT MOODY",EVAKOTH@HOTMAIL.COM
,CONNECT WITH CC,SENIOR SUPPORT SERVICE - NON-MEDICAL,,,"1916 HIGHVIEW PL, PORT MOODY",connectmewithcc@gmail.com
COMMUNITY SERVICES/EDUCATION,HAPPY KIDS WORLD HOME DAYCARE,HOME DAYCARE - MULTI-AGE,,778-231-5645,"2617 ST GEORGE ST, PORT MOODY",
ACCOMMODATIONS,"LODGE, JAMES H",BED & BREAKFAST,,604-939-2519,"410 GLENCOE DR, PORT MOODY",anjlodge@gmail.com
HEALTH,MALAI GOODING WELLNESS,THAI TRADITIONAL MASSAGE,,604-583-1610,"2340 ST JOHNS ST, PORT MOODY",malaigooding@hotmail.com
CONTRACTORS,ROCK & ROLL DRIVING SCHOOL INC.,DRIVING SCHOOL,,604-469-0116,"1274 IOCO RD, PORT MOODY",wpetrie49@gmail.com
FOOD & BEVERAGE,HANAYUKI SUSHI,JAPANESE RESTAURANT,,778-227-8828,"100 - 221 IOCO RD, PORT MOODY",HANAYUKIRESTAURANT@GMAIL.COM
ACCOMMODATIONS,"LODGE, ISABELLE A",BED & BREAKFAST,,604-939-2519,"410 GLENCOE DR, PORT MOODY",anjlodge@gmail.com
FOOD & BEVERAGE,CAKE - YA,Bakery,,604-939-9911,"3256 ST JOHNS ST, PORT MOODY",
BEAUTY/ESTHETICS,EN FORET BEAUTY HAIR & SPA,HAIR SALON,,604-328-3171,"120 - 221 IOCO RD, PORT MOODY",bbq0694@gmail.com
COMMUNITY SERVICES/EDUCATION,GOOD RELATIONS RESEARCH & CONSULTING,RESEARCHER,,778-779-1720,"6 - 308 HIGHLAND WAY, PORT MOODY",dawnmarsden@yahoo.com
BUSINESS SERVICES,GOLBEY LAW CORPORATION,LAW OFFICE.,http://www.golbey.com,604-800-1629,"2707 CLARKE ST, PORT MOODY",hello@golbey.com
RETAIL COMMERCIAL,VIVE CLOTHING COMPANY,Clothing Store,http://www.vive.boutique.com,604-461-6089,"102 - 205 NEWPORT DR, PORT MOODY",design@vive-clothing.net
CONTRACTORS,MASON ELECTRIC,Home Office,http://www.masonelectric.ca,604-761-4847,"314 VALOUR DR, PORT MOODY",info@masonelectric.ca
BEAUTY/ESTHETICS,SAHM SALON,HAIR SALON,http://www.sahmsalon.com,778-895-1867,"12 - 3130 ST JOHNS ST, PORT MOODY",sahmsalon@outlook.com
HEALTH,SERENITY HOMEOPATHIC CLINIC,HOMEOPATHIC CLINIC.,http://www.serenityhomeopathic.com,604-307-5967,"2226 ST JOHNS ST, PORT MOODY",lucy@serenityhomeopathicclinic.com
CONTRACTORS,CANAMARK PROPERTY SERVICES LIMITED,"Property Services Company, Maintenance/Repairs",http://www.canamark.ca,604-552-2115,"206 - 3190 ST JOHNS ST, PORT MOODY",info@canamark.ca
HEALTH,TRI-CITY ENDODONTICS,DENTAL OFFICE.,http://www.tricityendodontics.ca,604-492-3034,"2726 ST JOHNS ST, PORT MOODY",info@tricityendodontics.ca
CONTRACTORS,ONE STOP SAFETY SERVICES CORPORATION,TRAFFIC CONTROL COMPANY,http://www.onestopsafetyservices.com,778-371-9841,"4 - 99 MORAY ST, PORT MOODY",onestopsafetyservices.com
RETAIL COMMERCIAL,WILLOW AND WALLFLOWER HOME DECOR,RETAIL HOME DECOR,http://www.willowandwallflower.ca,604-939-0769,"2606 ST JOHNS ST, PORT MOODY",willowandwallflower@gmail.com
HEALTH,LEE YUN HEE,Acupuncture & Chinese Medicine,http://www.healinghandschiropractic.ca,604-949-0340,"14 - 3130 ST JOHNS ST, PORT MOODY",hh_frontdesk@hotmail.com
BEAUTY/ESTHETICS,LASHING OUT EYELASH EXTENSIONS,EYELASH EXTENSIONS,http://www.pocolashextensions.com,604-340-3472,"90 KYLE ST, PORT MOODY",lashingout@pocolashextensions.com
