ds,y
2011-8-12,11962
2011-8-14,3135
2011-8-15,10141
2011-8-16,11213
2011-8-17,23567
2011-8-18,33122
2011-8-19,10609
2011-8-2,15624
2011-8-21,8164
2011-8-22,15387
2011-8-23,15112
2011-8-24,29288
2011-8-25,13184
2011-8-26,17756
2011-8-28,6770
2011-8-3,15660
2011-8-30,10182
2011-8-31,6976
2011-8-4,37992
2011-8-5,12200
2011-8-7,5080
2011-8-8,13104
2011-8-9,15605
2011-9-1,27829
2011-9-11,21122
2011-9-12,17086
2011-9-13,36904
2011-9-14,9590
2011-9-15,29181
2011-9-16,15166
2011-9-18,8966
2011-9-19,28973
2011-9-2,10725
2011-9-20,43702
2011-9-21,19581
2011-9-22,32263
2011-9-23,21222
2011-9-25,19329
2011-9-26,14948
2011-9-27,21060
2011-9-28,25157
2011-9-29,26365
2011-9-30,22009
2011-9-4,10941
2011-9-5,23484
2011-9-6,14959
2011-9-7,16211
2011-9-8,16944
2011-9-9,16100
